id,deck,type,filename,aspect,title,midjourney_prompt
deportation-engine,dystopia,image,media/deportation-engine.jpg,16:9,The Deportation Engine,"Aerial night view of a quiet residential street with a glowing red predictive-targeting grid overlaid on the houses, ICE vehicles converging on one pre-lit home, drone swarm above, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
house-always-wins,dystopia,image,media/house-always-wins.jpg,16:9,The House Always Wins,"A gilded penthouse trading floor at night, red stock tickers wrapping marble columns, a family crest above the screens, a silhouetted figure watching the numbers, obscene wealth, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
forever-front,dystopia,image,media/forever-front.jpg,16:9,The Forever Front,"A darkened military operations room, a wall map of a city where red targeting reticles bloom automatically across neighborhoods, no hand on the controls, exhausted analysts in screen-glow, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
every-citizen,dystopia,image,media/every-citizen.jpg,16:9,A Reality For Every Citizen,"A vast dark hall where thousands of people each stare into a personal floating screen showing a slightly different red-tinted headline, isolation in a crowd, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
loyalty-index,dystopia,image,media/loyalty-index.jpg,16:9,The Loyalty Index,"A cavernous government control room dominated by a floor-to-ceiling wall of citizen ID photos colour-graded from green to deep red by a loyalty score, technicians below, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
throughput,dystopia,image,media/throughput.jpg,16:9,Throughput,"High aerial view of an endless modular detention camp in a perfect optimization grid across a desert, contractor logos on the roofs, a glowing red logistics overlay routing figures between blocks, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
camera-tv,dystopia,image,media/camera-tv.jpg,16:9,Person. Woman. Man. Camera. TV.,"A television studio where a too-perfect leader-figure addresses the camera as a silhouette on a glowing screen, while behind a pulled-back curtain a wall of rendering machines generates his image frame by frame, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
files-pending,dystopia,image,media/files-pending.jpg,16:9,"Files, Pending","A cathedral-scale archive vault stacked with endlessly redacted black-bar documents, a giant red RELEASE: PENDING counter frozen on the wall, papers dissolving into identical fakes, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
bloodline,dystopia,image,media/bloodline.jpg,16:9,The Bloodline Protocol,"A grand dynastic portrait hall where the same silhouetted leader-figure repeats down an endless gilded corridor, a red inheritance-line glowing between each frame, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
clemency,dystopia,image,media/clemency.jpg,16:9,Clemency.gov,"A marble courthouse interior retrofitted with a glowing red interface reading PARDON — PURCHASE, a gavel mounted like an auction hammer, queues of supplicants holding numbered tickets, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette, heavy 35mm grain, dystopian, deeply unsettling --ar 16:9 --style raw"
ground-truth,backfire,image,media/ground-truth.jpg,16:9,Ground Truth,"A press-conference stage where a vast screen behind an empty podium displays live green-lit factual corrections scrolling faster than anyone can speak, a silhouetted figure dwarfed against the wall of truth, hyperreal cinematic film still, anamorphic lens, volumetric fog, desaturated palette with green signal-light, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
the-ledger,backfire,image,media/the-ledger.jpg,16:9,The Ledger,"A towering transparent flow-diagram of money streams glowing over a city, every hidden account and shell suddenly visible as bright lines converging on a few gilded penthouses, crowds below looking up, green signal-light, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
peoples-verdict,backfire,image,media/peoples-verdict.jpg,16:9,The People's Verdict,"A monumental public square at dusk where a colossal civic scoreboard displays live accountability scores for named officials, an ocean of upturned faces, a courtroom blown up to city scale, cool signal-light, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
chain-of-custody,backfire,image,media/chain-of-custody.jpg,16:9,Chain Of Custody,"A vast archive where every document glows with an unbreakable verification seal, black-bar redactions burning away to reveal verified text, a frozen RELEASE: COMPLETE counter, light flooding a cathedral of records, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
the-unsealing,backfire,image,media/the-unsealing.jpg,16:9,The Unsealing,"A sealed vault door swinging open as a flood of verified white pages pours into a dark hall, a red PENDING sign flickering to green RELEASED, figures shielding their eyes from the light of disclosure, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
due-process,backfire,image,media/due-process.jpg,16:9,Due Process,"A detention facility at night where a glowing protective network of light connects each held person to an incoming legal-aid response, the targeting-grid aesthetic inverted into a rescue map, cold floodlight warming to gold, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
mirror-test,backfire,image,media/mirror-test.jpg,16:9,The Mirror Test,"A television studio where a too-perfect broadcast figure on screen is overlaid live with a stark red RENDERED — NOT LIVE verification stamp, the rendering machines behind the curtain now exposed and labelled, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
open-book,backfire,image,media/open-book.jpg,16:9,The Open Book,"A glass-walled seat of power where every wall, document and device has turned fully transparent, officials standing exposed inside as crowds outside read everything, the panopticon turned inside-out, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
the-receipt,backfire,image,media/the-receipt.jpg,16:9,The Receipt,"A marble courthouse where a glowing public ledger lists every pardon with its true price and buyer scrolling up a wall, a gavel beside an itemized red invoice, supplicants now exposed rather than served, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
the-backfire,backfire,image,media/the-backfire.jpg,16:9,The Backfire,"A lone silhouetted figure standing before an immense calm white light that is the fully-realized machine, his shadow thrown long and small, the spectacle stripped to a quiet unbearable clarity, hyperreal cinematic film still, anamorphic lens, volumetric fog, heavy 35mm grain, deeply unsettling --ar 16:9 --style raw"
